Medicare Advantage Monthly Capitation Rates for 2021 for All Plans except PACE Plans,,,,,,
"Note: 
1. ESRD rates are for dialysis only and are shown after the deduction of the user fee of $5.25.
2. All rates include MIPPA IME deduction.",,,,,,
Code,State,County Name,Parts A&B 5% Bonus 2021 Rate,Parts A&B 3.5% Bonus 2021 Rate,Parts A&B 0% Bonus 2021 Rate,Parts A&B ESRD 2021 Rate
16220,IOWA,CLINTON,962.99,962.99,955.08,"6,978.06"
16230,IOWA,CRAWFORD,962.69,962.69,962.69,"6,978.06"
16240,IOWA,DALLAS,965.20,953.13,924.98,"6,978.06"
16250,IOWA,DAVIS,"1,044.52","1,044.52","1,018.41","6,978.06"
16260,IOWA,DECATUR,981.90,981.90,951.93,"6,978.06"
16270,IOWA,DELAWARE,968.84,968.84,968.84,"6,978.06"
16280,IOWA,DES MOINES,968.68,968.68,968.68,"6,978.06"
16290,IOWA,DICKINSON,975.14,975.14,961.15,"6,978.06"
16300,IOWA,DUBUQUE,937.54,925.82,898.47,"6,978.06"
16310,IOWA,EMMET,"1,004.18",989.49,955.20,"6,978.06"
16320,IOWA,FAYETTE,"1,022.04","1,012.39",978.15,"6,978.06"
16330,IOWA,FLOYD,"1,011.59","1,002.46",968.56,"6,978.06"
16340,IOWA,FRANKLIN,958.39,958.39,958.39,"6,978.06"
16350,IOWA,FREMONT,"1,172.76","1,155.17","1,114.12","6,978.06"
16360,IOWA,GREENE,974.11,974.11,974.11,"6,978.06"
16370,IOWA,GRUNDY,967.18,953.84,922.71,"6,978.06"
16380,IOWA,GUTHRIE,"1,015.75","1,001.24",967.38,"6,978.06"
16390,IOWA,HAMILTON,975.17,975.17,948.61,"6,978.06"
16400,IOWA,HANCOCK,"1,061.38","1,045.46","1,008.31","6,978.06"
16410,IOWA,HARDIN,954.56,954.56,954.56,"6,978.06"
16420,IOWA,HARRISON,"1,011.99",997.18,962.63,"6,978.06"
16430,IOWA,HENRY,952.62,952.62,952.62,"6,978.06"
16440,IOWA,HOWARD,"1,039.02","1,039.02","1,039.02","6,978.06"
16450,IOWA,HUMBOLDT,972.28,972.28,965.10,"6,978.06"
16460,IOWA,IDA,"1,081.76","1,065.53","1,027.67","6,978.06"
16470,IOWA,IOWA,953.24,953.24,953.24,"6,978.06"
16480,IOWA,JACKSON,964.17,964.17,964.17,"6,978.06"
16490,IOWA,JASPER,970.15,968.05,939.46,"6,978.06"
16500,IOWA,JEFFERSON,954.13,954.13,954.13,"6,978.06"
16510,IOWA,JOHNSON,912.47,901.06,874.45,"6,978.06"
16520,IOWA,JONES,960.36,960.36,956.88,"6,978.06"
16530,IOWA,KEOKUK,965.36,951.57,919.39,"6,978.06"
16540,IOWA,KOSSUTH,988.16,988.16,988.16,"6,978.06"
16550,IOWA,LEE,961.88,961.88,958.80,"6,978.06"
16560,IOWA,LINN,972.48,966.27,937.73,"6,978.06"
16570,IOWA,LOUISA,950.82,950.82,950.82,"6,978.06"
16580,IOWA,LUCAS,972.22,972.22,968.05,"6,978.06"
16590,IOWA,LYON,"1,036.49","1,036.49","1,006.10","6,978.06"
16600,IOWA,MADISON,"1,025.08","1,011.41",979.52,"6,978.06"
16610,IOWA,MAHASKA,970.26,970.26,970.26,"6,978.06"
16620,IOWA,MARION,972.88,972.88,972.88,"6,978.06"
16630,IOWA,MARSHALL,928.44,916.83,889.75,"6,978.06"
16640,IOWA,MILLS,"1,031.12","1,017.37",985.29,"6,978.06"
16650,IOWA,MITCHELL,955.60,955.60,955.60,"6,978.06"
16660,IOWA,MONONA,"1,055.64","1,040.56","1,005.37","6,978.06"
16670,IOWA,MONROE,990.46,990.46,961.07,"6,978.06"
16680,IOWA,MONTGOMERY,"1,051.80","1,036.02",999.21,"6,978.06"
16690,IOWA,MUSCATINE,952.89,952.89,952.89,"6,978.06"
16700,IOWA,O'BRIEN,999.56,999.56,999.56,"6,978.06"
16710,IOWA,OSCEOLA,941.24,941.24,937.13,"6,978.06"
16720,IOWA,PAGE,"1,060.93","1,045.02","1,007.88","6,978.06"
16730,IOWA,PALO ALTO,"1,040.76","1,025.15",988.72,"6,978.06"
16740,IOWA,PLYMOUTH,976.46,976.46,970.67,"6,978.06"
16750,IOWA,POCAHONTAS,984.86,984.86,984.86,"6,978.06"
16760,IOWA,POLK,917.86,906.38,879.61,"6,978.06"
16770,IOWA,POTTAWATTAMIE,"1,046.84","1,033.76","1,003.23","6,978.06"
16780,IOWA,POWESHIEK,964.20,964.20,954.89,"6,978.06"
16790,IOWA,RINGGOLD,"1,126.10","1,109.21","1,069.80","6,978.06"
16800,IOWA,SAC,"1,078.06","1,061.89","1,024.16","6,978.06"
16810,IOWA,SCOTT,"1,038.23","1,025.25",994.97,"6,978.06"
16820,IOWA,SHELBY,"1,063.08","1,055.21","1,018.64","6,978.06"
16830,IOWA,SIOUX,"1,027.95","1,027.95","1,020.44","6,978.06"
16840,IOWA,STORY,896.72,885.51,859.36,"6,978.06"
16850,IOWA,TAMA,966.99,966.99,966.99,"6,978.06"
16860,IOWA,TAYLOR,"1,114.18","1,097.47","1,058.47","6,978.06"
16870,IOWA,UNION,972.39,972.39,972.39,"6,978.06"
16880,IOWA,VAN BUREN,"1,052.19","1,052.19","1,025.89","6,978.06"
16890,IOWA,WAPELLO,966.87,966.87,960.25,"6,978.06"
16900,IOWA,WARREN,947.15,935.31,907.68,"6,978.06"
16910,IOWA,WASHINGTON,951.61,951.61,951.61,"6,978.06"
16920,IOWA,WAYNE,974.43,974.43,974.43,"6,978.06"
16930,IOWA,WEBSTER,938.38,926.65,899.28,"6,978.06"
16940,IOWA,WINNEBAGO,958.39,958.39,958.39,"6,978.06"
16950,IOWA,WINNESHIEK,960.21,960.21,960.21,"6,978.06"
16960,IOWA,WOODBURY,966.82,954.73,926.53,"6,978.06"
16970,IOWA,WORTH,959.64,959.64,959.64,"6,978.06"
16980,IOWA,WRIGHT,"1,057.47","1,041.61","1,004.60","6,978.06"
17000,KANSAS,ALLEN,"1,092.40","1,076.01","1,037.78","7,271.13"
17010,KANSAS,ANDERSON,"1,174.84","1,157.22","1,116.10","7,271.13"
17020,KANSAS,ATCHISON,"1,059.79","1,043.89","1,006.80","7,271.13"
17030,KANSAS,BARBER,"1,445.46","1,423.78","1,373.19","7,271.13"
17040,KANSAS,BARTON,"1,068.02","1,052.00","1,014.62","7,271.13"
17050,KANSAS,BOURBON,"1,031.69","1,018.79",988.70,"7,271.13"
17060,KANSAS,BROWN,"1,126.15","1,109.26","1,069.84","7,271.13"
17070,KANSAS,BUTLER,"1,064.23","1,050.93","1,019.89","7,271.13"
17080,KANSAS,CHASE,982.52,982.52,982.52,"7,271.13"
17090,KANSAS,CHAUTAUQUA,"1,119.53","1,102.74","1,063.55","7,271.13"
17100,KANSAS,CHEROKEE,975.55,975.55,971.84,"7,271.13"
17110,KANSAS,CHEYENNE,"1,524.80","1,501.93","1,448.56","7,271.13"
17120,KANSAS,CLARK,"1,460.75","1,438.84","1,387.71","7,271.13"
17130,KANSAS,CLAY,"1,079.10","1,062.91","1,025.15","7,271.13"
17140,KANSAS,CLOUD,"1,020.98","1,010.68",976.50,"7,271.13"
17150,KANSAS,COFFEY,997.43,983.18,949.93,"7,271.13"
17160,KANSAS,COMANCHE,"1,349.10","1,328.86","1,281.65","7,271.13"
17170,KANSAS,COWLEY,974.77,974.77,974.77,"7,271.13"
17180,KANSAS,CRAWFORD,"1,019.59","1,019.59",990.96,"7,271.13"
17190,KANSAS,DECATUR,"1,306.63","1,287.03","1,241.30","7,271.13"
17200,KANSAS,DICKINSON,"1,008.57","1,008.57","1,008.57","7,271.13"
17210,KANSAS,DONIPHAN,"1,059.62","1,044.12","1,007.94","7,271.13"
17220,KANSAS,DOUGLAS,976.22,976.22,976.22,"7,271.13"
17230,KANSAS,EDWARDS,"1,230.39","1,211.93","1,168.87","7,271.13"
17240,KANSAS,ELK,"1,107.79","1,091.17","1,052.40","7,271.13"
17250,KANSAS,ELLIS,"1,019.47","1,004.90",970.92,"7,271.13"
17260,KANSAS,ELLSWORTH,"1,283.10","1,263.85","1,218.95","7,271.13"
17270,KANSAS,FINNEY,"1,004.05",989.71,956.24,"7,271.13"
17280,KANSAS,FORD,979.92,979.92,954.13,"7,271.13"
17290,KANSAS,FRANKLIN,"1,028.55","1,014.36",981.26,"7,271.13"
17300,KANSAS,GEARY,979.06,979.06,961.52,"7,271.13"
17310,KANSAS,GOVE,"1,228.46","1,210.03","1,167.04","7,271.13"
17320,KANSAS,GRAHAM,"1,217.00","1,198.75","1,156.15","7,271.13"
17330,KANSAS,GRANT,"1,129.72","1,115.14","1,081.13","7,271.13"
17340,KANSAS,GRAY,979.11,979.11,965.18,"7,271.13"
17350,KANSAS,GREELEY,"1,179.77","1,162.07","1,120.78","7,271.13"
17360,KANSAS,GREENWOOD,"1,144.49","1,127.32","1,087.27","7,271.13"
17370,KANSAS,HAMILTON,"1,241.04","1,222.42","1,178.99","7,271.13"
17380,KANSAS,HARPER,"1,201.10","1,183.08","1,141.05","7,271.13"
17390,KANSAS,HARVEY,"1,016.65","1,003.94",974.29,"7,271.13"
17391,KANSAS,HASKELL,"1,214.85","1,196.63","1,154.11","7,271.13"
17410,KANSAS,HODGEMAN,"1,191.63","1,173.76","1,132.05","7,271.13"
17420,KANSAS,JACKSON,"1,040.33","1,024.73",988.31,"7,271.13"
17430,KANSAS,JEFFERSON,977.34,977.34,977.34,"7,271.13"
17440,KANSAS,JEWELL,"1,231.10","1,212.63","1,169.55","7,271.13"
17450,KANSAS,JOHNSON,"1,076.11","1,076.11","1,016.95","7,271.13"
17451,KANSAS,KEARNY,"1,118.22","1,101.45","1,062.31","7,271.13"
17470,KANSAS,KINGMAN,"1,027.21","1,011.80",975.85,"7,271.13"
17480,KANSAS,KIOWA,"1,182.03","1,164.30","1,122.93","7,271.13"
17490,KANSAS,LABETTE,979.86,979.86,966.18,"7,271.13"
17500,KANSAS,LANE,"1,327.94","1,308.02","1,261.54","7,271.13"
17510,KANSAS,LEAVENWORTH,"1,051.86","1,037.84","1,005.11","7,271.13"
17520,KANSAS,LINCOLN,"1,398.49","1,377.51","1,328.57","7,271.13"
17530,KANSAS,LINN,"1,017.37","1,002.83",968.92,"7,271.13"
17540,KANSAS,LOGAN,"1,250.47","1,231.71","1,187.95","7,271.13"
17550,KANSAS,LYON,972.16,972.16,960.08,"7,271.13"
17560,KANSAS,MCPHERSON,978.76,978.76,978.76,"7,271.13"
17570,KANSAS,MARION,"1,022.48","1,022.48",999.31,"7,271.13"
17580,KANSAS,MARSHALL,"1,047.62","1,031.91",995.24,"7,271.13"
17590,KANSAS,MEADE,"1,177.82","1,160.15","1,118.93","7,271.13"
17600,KANSAS,MIAMI,"1,051.95","1,037.93","1,005.20","7,271.13"
17610,KANSAS,MITCHELL,"1,048.37","1,032.64",995.95,"7,271.13"
17620,KANSAS,MONTGOMERY,979.39,979.39,979.39,"7,271.13"
17630,KANSAS,MORRIS,"1,092.71","1,076.32","1,038.07","7,271.13"
17640,KANSAS,MORTON,"1,118.81","1,102.03","1,062.87","7,271.13"
17650,KANSAS,NEMAHA,"1,050.58","1,034.82",998.05,"7,271.13"
17660,KANSAS,NEOSHO,"1,141.77","1,124.64","1,084.68","7,271.13"
17670,KANSAS,NESS,"1,162.96","1,145.52","1,104.81","7,271.13"
17680,KANSAS,NORTON,"1,076.38","1,076.38","1,046.33","7,271.13"
17690,KANSAS,OSAGE,981.69,981.69,981.69,"7,271.13"
17700,KANSAS,OSBORNE,"1,146.62","1,129.42","1,089.29","7,271.13"
17710,KANSAS,OTTAWA,"1,064.64","1,048.67","1,011.41","7,271.13"
17720,KANSAS,PAWNEE,"1,308.75","1,289.12","1,243.31","7,271.13"
17730,KANSAS,PHILLIPS,"1,324.70","1,304.83","1,258.47","7,271.13"
17740,KANSAS,POTTAWATOMIE,"1,104.93","1,088.36","1,049.68","7,271.13"
17750,KANSAS,PRATT,"1,046.86","1,031.91",997.01,"7,271.13"
17760,KANSAS,RAWLINS,"1,552.93","1,529.64","1,475.28","7,271.13"
17770,KANSAS,RENO,985.56,971.48,938.63,"7,271.13"
17780,KANSAS,REPUBLIC,"1,074.84","1,058.72","1,021.10","7,271.13"
17790,KANSAS,RICE,"1,078.61","1,062.43","1,024.68","7,271.13"
17800,KANSAS,RILEY,980.02,980.02,967.47,"7,271.13"
17810,KANSAS,ROOKS,"1,064.56","1,048.59","1,011.33","7,271.13"
17820,KANSAS,RUSH,"1,120.61","1,103.80","1,064.58","7,271.13"
17830,KANSAS,RUSSELL,"1,173.68","1,156.07","1,115.00","7,271.13"
17840,KANSAS,SALINE,977.60,977.60,977.60,"7,271.13"
17841,KANSAS,SCOTT,"1,437.75","1,416.18","1,365.86","7,271.13"
17860,KANSAS,SEDGWICK,"1,034.18","1,021.26",991.09,"7,271.13"
17870,KANSAS,SEWARD,982.98,982.98,982.98,"7,271.13"
17880,KANSAS,SHAWNEE,981.44,981.44,964.76,"7,271.13"
17890,KANSAS,SHERIDAN,"1,304.27","1,284.71","1,239.06","7,271.13"
17900,KANSAS,SHERMAN,"1,215.50","1,197.27","1,154.73","7,271.13"
17910,KANSAS,SMITH,"1,273.17","1,254.07","1,209.51","7,271.13"
17920,KANSAS,STAFFORD,"1,207.50","1,189.39","1,147.13","7,271.13"
17921,KANSAS,STANTON,"1,216.55","1,198.30","1,155.72","7,271.13"
17940,KANSAS,STEVENS,"1,146.71","1,129.51","1,089.37","7,271.13"
17950,KANSAS,SUMNER,"1,026.29","1,013.46",983.53,"7,271.13"
17960,KANSAS,THOMAS,"1,295.59","1,276.16","1,230.81","7,271.13"
17970,KANSAS,TREGO,"1,224.52","1,206.15","1,163.29","7,271.13"
17980,KANSAS,WABAUNSEE,981.02,971.13,938.29,"7,271.13"
17981,KANSAS,WALLACE,"1,207.87","1,189.75","1,147.48","7,271.13"
17982,KANSAS,WASHINGTON,"1,137.12","1,120.06","1,080.26","7,271.13"
17983,KANSAS,WICHITA,"1,508.92","1,486.29","1,433.47","7,271.13"
17984,KANSAS,WILSON,"1,101.06","1,084.54","1,046.01","7,271.13"
17985,KANSAS,WOODSON,"1,139.32","1,122.23","1,082.35","7,271.13"
17986,KANSAS,WYANDOTTE,"1,025.83",997.85,932.57,"7,271.13"
18000,KENTUCKY,ADAIR,"1,047.87","1,033.90","1,001.30","7,423.07"
18010,KENTUCKY,ALLEN,999.96,999.96,966.30,"7,423.07"
18020,KENTUCKY,ANDERSON,964.58,951.71,921.71,"7,423.07"
18030,KENTUCKY,BALLARD,979.43,979.43,979.43,"7,423.07"
18040,KENTUCKY,BARREN,973.48,973.48,973.48,"7,423.07"
18050,KENTUCKY,BATH,969.28,967.27,938.70,"7,423.07"
18060,KENTUCKY,BELL,928.92,928.92,928.92,"7,423.07"
18070,KENTUCKY,BOONE,"1,040.69","1,012.31",946.08,"7,423.07"
18080,KENTUCKY,BOURBON,"1,029.87","1,016.58",985.57,"7,423.07"
18090,KENTUCKY,BOYD,"1,005.88",992.47,961.18,"7,423.07"
18100,KENTUCKY,BOYLE,970.78,970.78,970.78,"7,423.07"
18110,KENTUCKY,BRACKEN,996.89,983.14,951.06,"7,423.07"
18120,KENTUCKY,BREATHITT,973.41,973.41,959.96,"7,423.07"
18130,KENTUCKY,BRECKINRIDGE,974.94,974.94,951.24,"7,423.07"
18140,KENTUCKY,BULLITT,969.72,955.86,923.54,"7,423.07"
18150,KENTUCKY,BUTLER,976.84,976.84,946.30,"7,423.07"
18160,KENTUCKY,CALDWELL,"1,021.79","1,021.79","1,021.79","7,423.07"
18170,KENTUCKY,CALLOWAY,976.76,976.76,976.76,"7,423.07"
18180,KENTUCKY,CAMPBELL,"1,003.43",989.10,955.65,"7,423.07"
18190,KENTUCKY,CARLISLE,982.41,982.41,982.41,"7,423.07"
18191,KENTUCKY,CARROLL,975.53,961.60,929.08,"7,423.07"
18210,KENTUCKY,CARTER,"1,001.52",989.00,959.79,"7,423.07"
18220,KENTUCKY,CASEY,"1,100.98","1,084.47","1,045.93","7,423.07"
18230,KENTUCKY,CHRISTIAN,973.95,973.95,973.95,"7,423.07"
18240,KENTUCKY,CLARK,985.04,971.90,941.26,"7,423.07"
18250,KENTUCKY,CLAY,979.41,979.41,974.79,"7,423.07"
18260,KENTUCKY,CLINTON,"1,018.28","1,003.01",967.37,"7,423.07"
18270,KENTUCKY,CRITTENDEN,"1,127.46","1,110.55","1,071.09","7,423.07"
18271,KENTUCKY,CUMBERLAND,"1,110.79","1,094.13","1,055.25","7,423.07"
18290,KENTUCKY,DAVIESS,981.24,981.24,951.35,"7,423.07"
18291,KENTUCKY,EDMONSON,"1,015.07","1,015.07",999.33,"7,423.07"
18310,KENTUCKY,ELLIOTT,969.85,968.81,940.19,"7,423.07"
18320,KENTUCKY,ESTILL,956.03,956.03,939.40,"7,423.07"
18330,KENTUCKY,FAYETTE,"1,000.47",987.13,956.01,"7,423.07"
18340,KENTUCKY,FLEMING,946.41,946.41,916.67,"7,423.07"
18350,KENTUCKY,FLOYD,994.65,980.45,947.29,"7,423.07"
18360,KENTUCKY,FRANKLIN,"1,007.90",993.50,959.90,"7,423.07"
18361,KENTUCKY,FULTON,992.53,991.99,958.44,"7,423.07"
18362,KENTUCKY,GALLATIN,"1,063.29","1,048.10","1,012.66","7,423.07"
18390,KENTUCKY,GARRARD,971.81,971.81,967.44,"7,423.07"
18400,KENTUCKY,GRANT,993.84,979.64,946.51,"7,423.07"
18410,KENTUCKY,GRAVES,980.49,980.49,980.49,"7,423.07"
18420,KENTUCKY,GRAYSON,975.74,975.74,957.45,"7,423.07"
18421,KENTUCKY,GREEN,"1,044.22","1,028.56",992.01,"7,423.07"
18440,KENTUCKY,GREENUP,"1,000.86",987.51,956.37,"7,423.07"
18450,KENTUCKY,HANCOCK,981.64,981.64,981.64,"7,423.07"
18460,KENTUCKY,HARDIN,977.98,977.98,953.72,"7,423.07"
18470,KENTUCKY,HARLAN,940.12,940.12,940.12,"7,423.07"
18480,KENTUCKY,HARRISON,968.24,968.24,954.80,"7,423.07"
18490,KENTUCKY,HART,977.13,977.13,969.30,"7,423.07"
18500,KENTUCKY,HENDERSON,"1,028.69","1,013.99",979.70,"7,423.07"
18510,KENTUCKY,HENRY,"1,022.60","1,008.97",977.15,"7,423.07"
18511,KENTUCKY,HICKMAN,927.57,927.57,927.57,"7,423.07"
18530,KENTUCKY,HOPKINS,972.69,972.69,972.69,"7,423.07"
18540,KENTUCKY,JACKSON,928.44,916.83,889.76,"7,423.07"
18550,KENTUCKY,JEFFERSON,"1,003.92",990.53,959.30,"7,423.07"
18560,KENTUCKY,JESSAMINE,"1,021.62","1,008.43",977.68,"7,423.07"
18570,KENTUCKY,JOHNSON,970.65,970.65,970.65,"7,423.07"
18580,KENTUCKY,KENTON,985.22,971.14,938.30,"7,423.07"
18590,KENTUCKY,KNOTT,972.59,972.59,955.72,"7,423.07"
18600,KENTUCKY,KNOX,973.97,973.97,959.17,"7,423.07"
18610,KENTUCKY,LARUE,978.60,978.60,978.60,"7,423.07"
18620,KENTUCKY,LAUREL,964.93,952.87,924.73,"7,423.07"
18630,KENTUCKY,LAWRENCE,978.97,978.97,962.78,"7,423.07"
18640,KENTUCKY,LEE,965.68,965.68,965.68,"7,423.07"
18650,KENTUCKY,LESLIE,948.35,948.35,936.91,"7,423.07"
18660,KENTUCKY,LETCHER,"1,020.12","1,014.63",983.68,"7,423.07"
18670,KENTUCKY,LEWIS,970.84,970.84,970.84,"7,423.07"
18680,KENTUCKY,LINCOLN,971.43,971.43,971.43,"7,423.07"
18690,KENTUCKY,LIVINGSTON,"1,061.15","1,045.99","1,010.62","7,423.07"
18700,KENTUCKY,LOGAN,971.95,958.07,925.67,"7,423.07"
18710,KENTUCKY,LYON,"1,011.63","1,011.63","1,011.63","7,423.07"
18720,KENTUCKY,MCCRACKEN,"1,005.72",992.31,961.02,"7,423.07"
18730,KENTUCKY,MCCREARY,975.39,975.39,967.39,"7,423.07"
18740,KENTUCKY,MCLEAN,979.49,979.49,967.29,"7,423.07"
18750,KENTUCKY,MADISON,"1,022.28","1,009.50",979.68,"7,423.07"
18760,KENTUCKY,MAGOFFIN,"1,006.84",993.92,962.58,"7,423.07"
18770,KENTUCKY,MARION,974.25,974.25,974.25,"7,423.07"
18780,KENTUCKY,MARSHALL,978.68,978.68,978.68,"7,423.07"
18790,KENTUCKY,MARTIN,971.46,971.46,965.95,"7,423.07"
18800,KENTUCKY,MASON,970.46,970.46,970.46,"7,423.07"
18801,KENTUCKY,MEADE,"1,021.19","1,008.01",977.26,"7,423.07"
18802,KENTUCKY,MENIFEE,966.92,966.92,951.81,"7,423.07"
18830,KENTUCKY,MERCER,972.36,972.36,946.50,"7,423.07"
18831,KENTUCKY,METCALFE,971.97,971.97,971.97,"7,423.07"
18850,KENTUCKY,MONROE,"1,093.87","1,077.46","1,039.18","7,423.07"
18860,KENTUCKY,MONTGOMERY,969.67,969.67,969.67,"7,423.07"
18861,KENTUCKY,MORGAN,957.12,957.12,936.49,"7,423.07"
18880,KENTUCKY,MUHLENBERG,978.14,978.14,962.77,"7,423.07"
18890,KENTUCKY,NELSON,"1,051.78","1,038.63","1,007.95","7,423.07"
18900,KENTUCKY,NICHOLAS,934.15,921.27,891.20,"7,423.07"
18910,KENTUCKY,OHIO,980.57,980.57,980.57,"7,423.07"
18920,KENTUCKY,OLDHAM,995.38,982.54,952.57,"7,423.07"
18930,KENTUCKY,OWEN,981.60,966.88,932.52,"7,423.07"
18931,KENTUCKY,OWSLEY,932.39,919.53,889.52,"7,423.07"
18932,KENTUCKY,PENDLETON,"1,027.52","1,013.82",981.85,"7,423.07"
18960,KENTUCKY,PERRY,964.66,964.66,964.66,"7,423.07"
18970,KENTUCKY,PIKE,984.84,984.84,984.84,"7,423.07"
18971,KENTUCKY,POWELL,965.54,965.54,965.54,"7,423.07"
18972,KENTUCKY,PULASKI,974.69,974.69,960.34,"7,423.07"
18973,KENTUCKY,ROBERTSON,967.13,967.13,952.32,"7,423.07"
18974,KENTUCKY,ROCKCASTLE,965.77,965.77,965.77,"7,423.07"
18975,KENTUCKY,ROWAN,964.80,964.80,949.37,"7,423.07"
18976,KENTUCKY,RUSSELL,970.41,960.27,928.94,"7,423.07"
18977,KENTUCKY,SCOTT,962.75,948.99,916.90,"7,423.07"
18978,KENTUCKY,SHELBY,"1,018.06","1,004.48",972.81,"7,423.07"
18979,KENTUCKY,SIMPSON,"1,019.31","1,019.31","1,017.63","7,423.07"
18980,KENTUCKY,SPENCER,"1,019.52","1,005.93",974.21,"7,423.07"
18981,KENTUCKY,TAYLOR,972.51,972.51,972.51,"7,423.07"
18982,KENTUCKY,TODD,973.20,973.20,973.20,"7,423.07"
18983,KENTUCKY,TRIGG,985.90,985.90,977.56,"7,423.07"
18984,KENTUCKY,TRIMBLE,987.72,973.61,940.69,"7,423.07"
18985,KENTUCKY,UNION,"1,040.20","1,040.20","1,008.66","7,423.07"
18986,KENTUCKY,WARREN,963.84,963.84,948.48,"7,423.07"
18987,KENTUCKY,WASHINGTON,972.66,972.66,957.20,"7,423.07"
18988,KENTUCKY,WAYNE,974.62,974.62,958.31,"7,423.07"
18989,KENTUCKY,WEBSTER,"1,060.59","1,046.45","1,013.46","7,423.07"
18990,KENTUCKY,WHITLEY,982.14,982.14,958.33,"7,423.07"
18991,KENTUCKY,WOLFE,909.60,909.60,909.60,"7,423.07"
18992,KENTUCKY,WOODFORD,978.22,965.60,936.15,"7,423.07"
19000,LOUISIANA,ACADIA,"1,040.10","1,025.24",990.57,"7,227.34"
19010,LOUISIANA,ALLEN,"1,039.47","1,024.62",989.97,"7,227.34"
19020,LOUISIANA,ASCENSION,"1,002.22",988.39,956.14,"7,227.34"
19030,LOUISIANA,ASSUMPTION,"1,049.21","1,035.22","1,002.58","7,227.34"
19040,LOUISIANA,AVOYELLES,"1,109.92","1,093.27","1,054.42","7,227.34"
19050,LOUISIANA,BEAUREGARD,"1,036.28","1,020.74",984.47,"7,227.34"
19060,LOUISIANA,BIENVILLE,"1,206.06","1,187.97","1,145.76","7,227.34"
19070,LOUISIANA,BOSSIER,"1,026.26","1,010.87",974.95,"7,227.34"
19080,LOUISIANA,CADDO,999.72,984.72,949.73,"7,227.34"
19090,LOUISIANA,CALCASIEU,"1,025.72","1,011.07",976.88,"7,227.34"
19100,LOUISIANA,CALDWELL,"1,227.06","1,208.65","1,165.71","7,227.34"
19110,LOUISIANA,CAMERON,"1,057.23","1,043.13","1,010.24","7,227.34"
19120,LOUISIANA,CATAHOULA,"1,056.14","1,040.30","1,003.33","7,227.34"
19130,LOUISIANA,CLAIBORNE,"1,083.04","1,066.79","1,028.89","7,227.34"
19140,LOUISIANA,CONCORDIA,"1,083.77","1,067.51","1,029.58","7,227.34"
19150,LOUISIANA,DE SOTO,"1,036.42","1,020.87",984.60,"7,227.34"
19160,LOUISIANA,EAST BATON ROUGE,"1,053.38","1,039.34","1,006.57","7,227.34"
19170,LOUISIANA,EAST CARROLL,"1,150.55","1,133.29","1,093.02","7,227.34"
19180,LOUISIANA,EAST FELICIANA,"1,029.07","1,001.01",935.52,"7,227.34"
19190,LOUISIANA,EVANGELINE,"1,066.19","1,050.20","1,012.88","7,227.34"
19200,LOUISIANA,FRANKLIN,"1,168.36","1,150.83","1,109.94","7,227.34"
19210,LOUISIANA,GRANT,"1,026.99","1,011.96",976.89,"7,227.34"
19220,LOUISIANA,IBERIA,"1,022.24","1,007.63",973.56,"7,227.34"
19230,LOUISIANA,IBERVILLE,"1,021.90","1,007.81",974.92,"7,227.34"
19240,LOUISIANA,JACKSON,"1,117.22","1,100.46","1,061.36","7,227.34"
19250,LOUISIANA,JEFFERSON,984.64,971.52,940.88,"7,227.34"
19260,LOUISIANA,JEFFERSON DAVIS,"1,019.39","1,004.10",968.42,"7,227.34"
19270,LOUISIANA,LAFAYETTE,"1,013.02",998.55,964.78,"7,227.34"
19280,LOUISIANA,LAFOURCHE,"1,013.96","1,000.44",968.90,"7,227.34"
19290,LOUISIANA,LA SALLE (LASALLE),"1,084.33","1,068.07","1,030.11","7,227.34"
19300,LOUISIANA,LINCOLN,"1,089.70","1,073.35","1,035.22","7,227.34"
19310,LOUISIANA,LIVINGSTON,"1,017.30","1,002.77",968.86,"7,227.34"
19320,LOUISIANA,MADISON,"1,326.93","1,307.03","1,260.58","7,227.34"
19330,LOUISIANA,MOREHOUSE,"1,098.52","1,082.04","1,043.59","7,227.34"
19340,LOUISIANA,NATCHITOCHES,"1,050.93","1,035.17",998.38,"7,227.34"
19350,LOUISIANA,ORLEANS,"1,005.62",992.21,960.92,"7,227.34"
19360,LOUISIANA,OUACHITA,"1,052.27","1,036.49",999.66,"7,227.34"
19370,LOUISIANA,PLAQUEMINES,"1,009.88",984.09,923.93,"7,227.34"
19380,LOUISIANA,POINTE COUPEE,"1,029.52","1,002.37",939.01,"7,227.34"
19390,LOUISIANA,RAPIDES,"1,031.12","1,016.03",980.82,"7,227.34"
19400,LOUISIANA,RED RIVER,"1,312.58","1,292.89","1,246.95","7,227.34"
19410,LOUISIANA,RICHLAND,"1,129.76","1,112.81","1,073.27","7,227.34"
19420,LOUISIANA,SABINE,"1,038.64","1,023.06",986.71,"7,227.34"
19430,LOUISIANA,ST. BERNARD,"1,024.84","1,010.20",976.04,"7,227.34"
19440,LOUISIANA,ST. CHARLES,"1,044.99","1,018.31",956.05,"7,227.34"
19450,LOUISIANA,ST. HELENA,"1,092.09","1,075.71","1,037.49","7,227.34"
19460,LOUISIANA,ST. JAMES,996.11,981.88,948.68,"7,227.34"
19470,LOUISIANA,ST. JOHN THE BAPTIST,"1,017.04",991.08,930.49,"7,227.34"
