Medicare Advantage Monthly Capitation Rates for 2021 for All Plans except PACE Plans,,,,,,
"Note: 
1. ESRD rates are for dialysis only and are shown after the deduction of the user fee of $5.25.
2. All rates include MIPPA IME deduction.",,,,,,
Code,State,County Name,Parts A&B 5% Bonus 2021 Rate,Parts A&B 3.5% Bonus 2021 Rate,Parts A&B 0% Bonus 2021 Rate,Parts A&B ESRD 2021 Rate
01660,ALABAMA,WINSTON,988.41,974.29,941.34,"7,074.02"
02013,ALASKA,ALEUTIANS EAST,"1,270.21","1,251.16","1,206.70","8,651.18"
02016,ALASKA,ALEUTIANS WEST,"1,270.21","1,251.16","1,206.70","8,651.18"
02020,ALASKA,ANCHORAGE,"1,050.23","1,035.23","1,000.22","8,651.18"
02050,ALASKA,BETHEL,"1,295.44","1,276.01","1,230.67","8,651.18"
02060,ALASKA,BRISTOL BAY,"1,198.00","1,180.03","1,138.10","8,651.18"
02068,ALASKA,DENALI,"1,034.48","1,018.96",982.76,"8,651.18"
02070,ALASKA,DILLINGHAM,"1,499.04","1,476.55","1,424.09","8,651.18"
02090,ALASKA,FAIRBANKS NORTH STAR,"1,024.63","1,009.64",974.65,"8,651.18"
02100,ALASKA,HAINES,"1,316.36","1,296.61","1,250.54","8,651.18"
02105,ALASKA,HOONAH-ANGOON,"1,294.83","1,275.41","1,230.09","8,651.18"
02110,ALASKA,JUNEAU,"1,083.46","1,067.21","1,029.29","8,651.18"
02122,ALASKA,KENAI PENINSULA,"1,239.03","1,220.44","1,177.08","8,651.18"
02130,ALASKA,KETCHIKAN GATEWAY,"1,202.16","1,184.13","1,142.05","8,651.18"
02150,ALASKA,KODIAK ISLAND,"1,326.00","1,306.11","1,259.70","8,651.18"
02164,ALASKA,LAKE AND PENINSULA,"1,499.04","1,476.55","1,424.09","8,651.18"
02170,ALASKA,MATANUSKA-SUSITNA,"1,067.83","1,051.81","1,014.44","8,651.18"
02180,ALASKA,NOME,"1,832.95","1,805.46","1,741.30","8,651.18"
02185,ALASKA,NORTH SLOPE,"1,704.20","1,678.64","1,618.99","8,651.18"
02188,ALASKA,NORTHWEST ARCTIC,"1,469.23","1,447.19","1,395.77","8,651.18"
02195,ALASKA,PETERSBURG,"1,381.75","1,361.02","1,312.66","8,651.18"
02198,ALASKA,PRINCE OF WALES-HYDER,"1,243.11","1,224.46","1,180.95","8,651.18"
02220,ALASKA,SITKA,"1,755.09","1,728.76","1,667.34","8,651.18"
02230,ALASKA,SKAGWAY,"1,294.83","1,275.41","1,230.09","8,651.18"
02240,ALASKA,SOUTHEAST FAIRBANKS,"1,132.14","1,115.16","1,075.53","8,651.18"
02261,ALASKA,VALDEZ-CORDOVA,"1,253.46","1,234.66","1,190.79","8,651.18"
02270,ALASKA,WADE HAMPTON (KUSILVAK),"1,287.25","1,267.94","1,222.89","8,651.18"
02275,ALASKA,WRANGELL,"1,381.75","1,361.02","1,312.66","8,651.18"
02282,ALASKA,YAKUTAT,"1,294.83","1,275.41","1,230.09","8,651.18"
02290,ALASKA,YUKON-KOYUKUK,"1,034.48","1,018.96",982.76,"8,651.18"
03000,ARIZONA,APACHE,"1,063.24","1,047.29","1,010.08","7,482.95"
03010,ARIZONA,COCHISE,974.13,974.13,968.66,"7,482.95"
03020,ARIZONA,COCONINO,"1,033.17","1,017.67",981.51,"7,482.95"
03030,ARIZONA,GILA,"1,018.56","1,004.01",970.06,"7,482.95"
03040,ARIZONA,GRAHAM,969.13,969.13,958.76,"7,482.95"
03050,ARIZONA,GREENLEE,"1,010.58",996.64,964.12,"7,482.95"
03055,ARIZONA,LA PAZ,"1,017.77","1,002.88",968.13,"7,482.95"
03060,ARIZONA,MARICOPA,"1,006.37",992.00,958.45,"7,482.95"
03070,ARIZONA,MOHAVE,"1,031.92","1,018.16",986.05,"7,482.95"
03080,ARIZONA,NAVAJO,"1,013.53","1,013.53",980.24,"7,482.95"
03090,ARIZONA,PIMA,"1,026.90","1,000.68",939.51,"7,482.95"
03100,ARIZONA,PINAL,"1,035.53","1,007.29",941.39,"7,482.95"
03110,ARIZONA,SANTA CRUZ,862.93,852.15,826.98,"7,482.95"
03120,ARIZONA,YAVAPAI,986.14,986.14,954.93,"7,482.95"
03130,ARIZONA,YUMA,990.98,985.19,951.87,"7,482.95"
04000,ARKANSAS,ARKANSAS,978.02,978.02,977.08,"7,068.47"
04010,ARKANSAS,ASHLEY,"1,026.93","1,011.53",975.58,"7,068.47"
04020,ARKANSAS,BAXTER,981.32,981.32,980.54,"7,068.47"
04030,ARKANSAS,BENTON,"1,085.85","1,075.61","1,013.90","7,068.47"
04040,ARKANSAS,BOONE,980.75,977.97,949.08,"7,068.47"
04050,ARKANSAS,BRADLEY,"1,051.38","1,036.36","1,001.31","7,068.47"
04060,ARKANSAS,CALHOUN,979.20,979.20,979.20,"7,068.47"
04070,ARKANSAS,CARROLL,980.42,980.42,970.47,"7,068.47"
04080,ARKANSAS,CHICOT,"1,062.04","1,046.11","1,008.94","7,068.47"
04090,ARKANSAS,CLARK,969.40,957.28,929.00,"7,068.47"
04100,ARKANSAS,CLAY,"1,034.33","1,034.33","1,034.33","7,068.47"
04110,ARKANSAS,CLEBURNE,979.11,979.11,979.11,"7,068.47"
04120,ARKANSAS,CLEVELAND,"1,019.34","1,019.34","1,019.34","7,068.47"
04130,ARKANSAS,COLUMBIA,974.61,974.61,943.12,"7,068.47"
04140,ARKANSAS,CONWAY,978.86,978.86,978.86,"7,068.47"
04150,ARKANSAS,CRAIGHEAD,978.46,978.46,978.46,"7,068.47"
04160,ARKANSAS,CRAWFORD,"1,031.92","1,005.57",944.10,"7,068.47"
04170,ARKANSAS,CRITTENDEN,989.71,976.51,945.72,"7,068.47"
04180,ARKANSAS,CROSS,976.10,976.10,976.10,"7,068.47"
04190,ARKANSAS,DALLAS,"1,009.50",995.08,961.43,"7,068.47"
04200,ARKANSAS,DESHA,"1,076.16","1,060.02","1,022.35","7,068.47"
04210,ARKANSAS,DREW,"1,008.33",993.92,960.31,"7,068.47"
04220,ARKANSAS,FAULKNER,"1,040.26","1,027.25",996.91,"7,068.47"
04230,ARKANSAS,FRANKLIN,968.77,954.93,922.64,"7,068.47"
04240,ARKANSAS,FULTON,981.04,981.04,981.04,"7,068.47"
04250,ARKANSAS,GARLAND,"1,007.12","1,007.12","1,000.76","7,068.47"
