Medicare Advantage Monthly Capitation Rates for 2021 for All PACE Plans,,,,
"Note: 
1. ESRD rates are for dialysis only and are shown after the deduction of the user fee of $5.25.",,,,
Code,State,County Name,Parts A&B 2021 Rate,Parts A&B ESRD 2021 Rate
11835,GEORGIA,RANDOLPH,985.93,"7,773.81"
11840,GEORGIA,RICHMOND,"1,089.65","7,773.81"
11841,GEORGIA,ROCKDALE,"1,089.65","7,773.81"
11842,GEORGIA,SCHLEY,985.93,"7,773.81"
11850,GEORGIA,SCREVEN,985.93,"7,773.81"
11851,GEORGIA,SEMINOLE,"1,020.41","7,773.81"
11860,GEORGIA,SPALDING,"1,089.65","7,773.81"
11861,GEORGIA,STEPHENS,985.93,"7,773.81"
11862,GEORGIA,STEWART,"1,160.76","7,773.81"
11870,GEORGIA,SUMTER,985.93,"7,773.81"
11880,GEORGIA,TALBOT,985.93,"7,773.81"
11881,GEORGIA,TALIAFERRO,"1,139.57","7,773.81"
11882,GEORGIA,TATTNALL,"1,172.32","7,773.81"
11883,GEORGIA,TAYLOR,985.93,"7,773.81"
11884,GEORGIA,TELFAIR,"1,138.41","7,773.81"
11885,GEORGIA,TERRELL,985.93,"7,773.81"
11890,GEORGIA,THOMAS,985.93,"7,773.81"
11900,GEORGIA,TIFT,985.93,"7,773.81"
11901,GEORGIA,TOOMBS,985.93,"7,773.81"
11902,GEORGIA,TOWNS,985.93,"7,773.81"
11903,GEORGIA,TREUTLEN,985.93,"7,773.81"
11910,GEORGIA,TROUP,985.93,"7,773.81"
11911,GEORGIA,TURNER,985.93,"7,773.81"
11912,GEORGIA,TWIGGS,"1,089.65","7,773.81"
11913,GEORGIA,UNION,985.93,"7,773.81"
11920,GEORGIA,UPSON,985.93,"7,773.81"
11921,GEORGIA,WALKER,"1,089.65","7,773.81"
11930,GEORGIA,WALTON,"1,089.65","7,773.81"
11940,GEORGIA,WARE,985.93,"7,773.81"
11941,GEORGIA,WARREN,985.93,"7,773.81"
11950,GEORGIA,WASHINGTON,985.93,"7,773.81"
11960,GEORGIA,WAYNE,"1,090.66","7,773.81"
11961,GEORGIA,WEBSTER,"1,148.87","7,773.81"
11962,GEORGIA,WHEELER,"1,159.27","7,773.81"
11963,GEORGIA,WHITE,985.93,"7,773.81"
11970,GEORGIA,WHITFIELD,985.93,"7,773.81"
11971,GEORGIA,WILCOX,983.30,"7,773.81"
11972,GEORGIA,WILKES,994.59,"7,773.81"
11973,GEORGIA,WILKINSON,985.93,"7,773.81"
11980,GEORGIA,WORTH,985.93,"7,773.81"
12010,HAWAII,HAWAII,985.93,"8,225.02"
12020,HAWAII,HONOLULU,"1,089.65","8,225.02"
12030,HAWAII,KALAWAO,"1,058.77","8,225.02"
12040,HAWAII,KAUAI,985.93,"8,225.02"
12050,HAWAII,MAUI,"1,058.77","8,225.02"
13000,IDAHO,ADA,"1,089.65","7,146.39"
13010,IDAHO,ADAMS,956.74,"7,146.39"
13020,IDAHO,BANNOCK,985.93,"7,146.39"
13030,IDAHO,BEAR LAKE,"1,183.39","7,146.39"
13040,IDAHO,BENEWAH,"1,066.06","7,146.39"
13050,IDAHO,BINGHAM,980.35,"7,146.39"
13060,IDAHO,BLAINE,"1,122.32","7,146.39"
13070,IDAHO,BOISE,"1,089.65","7,146.39"
13080,IDAHO,BONNER,985.93,"7,146.39"
13090,IDAHO,BONNEVILLE,985.93,"7,146.39"
13100,IDAHO,BOUNDARY,985.93,"7,146.39"
13110,IDAHO,BUTTE,"1,168.29","7,146.39"
13120,IDAHO,CAMAS,990.72,"7,146.39"
13130,IDAHO,CANYON,"1,089.65","7,146.39"
13140,IDAHO,CARIBOU,"1,271.81","7,146.39"
13150,IDAHO,CASSIA,985.93,"7,146.39"
13160,IDAHO,CLARK,"1,413.73","7,146.39"
13170,IDAHO,CLEARWATER,"1,060.39","7,146.39"
13180,IDAHO,CUSTER,"1,120.61","7,146.39"
13190,IDAHO,ELMORE,985.93,"7,146.39"
13200,IDAHO,FRANKLIN,"1,010.00","7,146.39"
13210,IDAHO,FREMONT,985.93,"7,146.39"
13220,IDAHO,GEM,"1,089.65","7,146.39"
13230,IDAHO,GOODING,"1,090.10","7,146.39"
13240,IDAHO,IDAHO,"1,087.40","7,146.39"
13250,IDAHO,JEFFERSON,985.93,"7,146.39"
13260,IDAHO,JEROME,985.93,"7,146.39"
13270,IDAHO,KOOTENAI,"1,049.35","7,146.39"
13280,IDAHO,LATAH,985.93,"7,146.39"
13290,IDAHO,LEMHI,"1,142.97","7,146.39"
13300,IDAHO,LEWIS,"1,098.23","7,146.39"
13310,IDAHO,LINCOLN,977.10,"7,146.39"
13320,IDAHO,MADISON,985.93,"7,146.39"
13330,IDAHO,MINIDOKA,985.93,"7,146.39"
13340,IDAHO,NEZ PERCE,"1,032.00","7,146.39"
13350,IDAHO,ONEIDA,"1,136.43","7,146.39"
13360,IDAHO,OWYHEE,"1,089.65","7,146.39"
13370,IDAHO,PAYETTE,985.93,"7,146.39"
13380,IDAHO,POWER,"1,016.52","7,146.39"
13390,IDAHO,SHOSHONE,"1,034.35","7,146.39"
13400,IDAHO,TETON,"1,573.32","7,146.39"
13410,IDAHO,TWIN FALLS,985.93,"7,146.39"
13420,IDAHO,VALLEY,"1,097.03","7,146.39"
13430,IDAHO,WASHINGTON,985.93,"7,146.39"
14000,ILLINOIS,ADAMS,985.93,"8,278.28"
14010,ILLINOIS,ALEXANDER,985.93,"8,278.28"
14020,ILLINOIS,BOND,"1,089.65","8,278.28"
14030,ILLINOIS,BOONE,"1,089.65","8,278.28"
14040,ILLINOIS,BROWN,983.66,"8,278.28"
14050,ILLINOIS,BUREAU,985.93,"8,278.28"
14060,ILLINOIS,CALHOUN,"1,173.97","8,278.28"
14070,ILLINOIS,CARROLL,985.93,"8,278.28"
14080,ILLINOIS,CASS,985.93,"8,278.28"
14090,ILLINOIS,CHAMPAIGN,985.93,"8,278.28"
14100,ILLINOIS,CHRISTIAN,986.60,"8,278.28"
14110,ILLINOIS,CLARK,979.78,"8,278.28"
14120,ILLINOIS,CLAY,"1,050.00","8,278.28"
14130,ILLINOIS,CLINTON,"1,089.65","8,278.28"
14140,ILLINOIS,COLES,985.93,"8,278.28"
14141,ILLINOIS,COOK,"1,167.10","8,278.28"
14150,ILLINOIS,CRAWFORD,985.93,"8,278.28"
14160,ILLINOIS,CUMBERLAND,"1,001.55","8,278.28"
14170,ILLINOIS,DEKALB,"1,089.65","8,278.28"
14180,ILLINOIS,DE WITT,994.43,"8,278.28"
14190,ILLINOIS,DOUGLAS,978.61,"8,278.28"
14250,ILLINOIS,DUPAGE,"1,089.65","8,278.28"
14310,ILLINOIS,EDGAR,983.34,"8,278.28"
14320,ILLINOIS,EDWARDS,991.63,"8,278.28"
14330,ILLINOIS,EFFINGHAM,985.93,"8,278.28"
14340,ILLINOIS,FAYETTE,985.71,"8,278.28"
14350,ILLINOIS,FORD,"1,120.93","8,278.28"
14360,ILLINOIS,FRANKLIN,989.95,"8,278.28"
14370,ILLINOIS,FULTON,969.47,"8,278.28"
14380,ILLINOIS,GALLATIN,"1,002.78","8,278.28"
14390,ILLINOIS,GREENE,"1,114.28","8,278.28"
14400,ILLINOIS,GRUNDY,"1,097.83","8,278.28"
14410,ILLINOIS,HAMILTON,"1,025.81","8,278.28"
14420,ILLINOIS,HANCOCK,"1,008.76","8,278.28"
14421,ILLINOIS,HARDIN,"1,116.77","8,278.28"
14440,ILLINOIS,HENDERSON,960.08,"8,278.28"
14450,ILLINOIS,HENRY,"1,089.65","8,278.28"
14460,ILLINOIS,IROQUOIS,"1,013.58","8,278.28"
14470,ILLINOIS,JACKSON,969.53,"8,278.28"
14480,ILLINOIS,JASPER,984.25,"8,278.28"
14490,ILLINOIS,JEFFERSON,985.93,"8,278.28"
14500,ILLINOIS,JERSEY,"1,089.65","8,278.28"
14510,ILLINOIS,JO DAVIESS,"1,029.35","8,278.28"
14520,ILLINOIS,JOHNSON,985.93,"8,278.28"
14530,ILLINOIS,KANE,"1,089.65","8,278.28"
14540,ILLINOIS,KANKAKEE,"1,089.65","8,278.28"
14550,ILLINOIS,KENDALL,"1,089.65","8,278.28"
14560,ILLINOIS,KNOX,983.94,"8,278.28"
14570,ILLINOIS,LAKE,"1,089.65","8,278.28"
14580,ILLINOIS,LA SALLE,"1,015.31","8,278.28"
14590,ILLINOIS,LAWRENCE,"1,045.53","8,278.28"
14600,ILLINOIS,LEE,985.93,"8,278.28"
14610,ILLINOIS,LIVINGSTON,985.48,"8,278.28"
14620,ILLINOIS,LOGAN,986.85,"8,278.28"
14630,ILLINOIS,MCDONOUGH,985.93,"8,278.28"
14640,ILLINOIS,MCHENRY,"1,089.65","8,278.28"
14650,ILLINOIS,MCLEAN,985.93,"8,278.28"
14660,ILLINOIS,MACON,985.93,"8,278.28"
14670,ILLINOIS,MACOUPIN,"1,089.65","8,278.28"
14680,ILLINOIS,MADISON,"1,089.65","8,278.28"
14690,ILLINOIS,MARION,"1,040.01","8,278.28"
14700,ILLINOIS,MARSHALL,"1,089.65","8,278.28"
14710,ILLINOIS,MASON,"1,043.42","8,278.28"
14720,ILLINOIS,MASSAC,985.93,"8,278.28"
14730,ILLINOIS,MENARD,985.93,"8,278.28"
14740,ILLINOIS,MERCER,"1,089.65","8,278.28"
14750,ILLINOIS,MONROE,"1,089.65","8,278.28"
14760,ILLINOIS,MONTGOMERY,985.93,"8,278.28"
14770,ILLINOIS,MORGAN,966.93,"8,278.28"
14780,ILLINOIS,MOULTRIE,985.93,"8,278.28"
14790,ILLINOIS,OGLE,"1,089.65","8,278.28"
14800,ILLINOIS,PEORIA,"1,089.65","8,278.28"
14810,ILLINOIS,PERRY,"1,106.62","8,278.28"
14820,ILLINOIS,PIATT,"1,090.05","8,278.28"
14830,ILLINOIS,PIKE,"1,036.65","8,278.28"
14831,ILLINOIS,POPE,"1,091.77","8,278.28"
14850,ILLINOIS,PULASKI,"1,162.11","8,278.28"
14860,ILLINOIS,PUTNAM,982.05,"8,278.28"
14870,ILLINOIS,RANDOLPH,"1,037.60","8,278.28"
14880,ILLINOIS,RICHLAND,"1,011.78","8,278.28"
14890,ILLINOIS,ROCK ISLAND,"1,089.65","8,278.28"
14900,ILLINOIS,ST. CLAIR,"1,089.65","8,278.28"
14910,ILLINOIS,SALINE,985.93,"8,278.28"
14920,ILLINOIS,SANGAMON,985.93,"8,278.28"
14921,ILLINOIS,SCHUYLER,"1,030.54","8,278.28"
14940,ILLINOIS,SCOTT,"1,002.95","8,278.28"
14950,ILLINOIS,SHELBY,"1,019.77","8,278.28"
14960,ILLINOIS,STARK,"1,089.65","8,278.28"
14970,ILLINOIS,STEPHENSON,985.93,"8,278.28"
14980,ILLINOIS,TAZEWELL,"1,089.65","8,278.28"
14981,ILLINOIS,UNION,985.93,"8,278.28"
14982,ILLINOIS,VERMILION,976.51,"8,278.28"
14983,ILLINOIS,WABASH,"1,080.31","8,278.28"
14984,ILLINOIS,WARREN,985.93,"8,278.28"
14985,ILLINOIS,WASHINGTON,"1,059.20","8,278.28"
14986,ILLINOIS,WAYNE,985.93,"8,278.28"
14987,ILLINOIS,WHITE,"1,017.20","8,278.28"
14988,ILLINOIS,WHITESIDE,985.93,"8,278.28"
14989,ILLINOIS,WILL,"1,118.70","8,278.28"
14990,ILLINOIS,WILLIAMSON,985.93,"8,278.28"
14991,ILLINOIS,WINNEBAGO,"1,089.65","8,278.28"
14992,ILLINOIS,WOODFORD,"1,089.65","8,278.28"
15000,INDIANA,ADAMS,"1,089.65","8,073.73"
15010,INDIANA,ALLEN,"1,089.65","8,073.73"
15020,INDIANA,BARTHOLOMEW,927.79,"8,073.73"
15030,INDIANA,BENTON,928.64,"8,073.73"
15040,INDIANA,BLACKFORD,"1,096.11","8,073.73"
15050,INDIANA,BOONE,"1,089.65","8,073.73"
15060,INDIANA,BROWN,"1,089.65","8,073.73"
15070,INDIANA,CARROLL,"1,060.30","8,073.73"
15080,INDIANA,CASS,960.77,"8,073.73"
15090,INDIANA,CLARK,"1,089.65","8,073.73"
15100,INDIANA,CLAY,"1,018.97","8,073.73"
15110,INDIANA,CLINTON,"1,003.96","8,073.73"
15120,INDIANA,CRAWFORD,"1,012.20","8,073.73"
15130,INDIANA,DAVIESS,"1,033.71","8,073.73"
15140,INDIANA,DEARBORN,"1,089.65","8,073.73"
15150,INDIANA,DECATUR,986.69,"8,073.73"
15160,INDIANA,DE KALB,"1,089.65","8,073.73"
15170,INDIANA,DELAWARE,989.69,"8,073.73"
15180,INDIANA,DUBOIS,985.93,"8,073.73"
15190,INDIANA,ELKHART,985.93,"8,073.73"
15200,INDIANA,FAYETTE,985.93,"8,073.73"
15210,INDIANA,FLOYD,"1,089.65","8,073.73"
15220,INDIANA,FOUNTAIN,"1,002.25","8,073.73"
15230,INDIANA,FRANKLIN,"1,089.65","8,073.73"
15240,INDIANA,FULTON,985.93,"8,073.73"
15250,INDIANA,GIBSON,"1,089.65","8,073.73"
15260,INDIANA,GRANT,985.93,"8,073.73"
15270,INDIANA,GREENE,"1,038.39","8,073.73"
15280,INDIANA,HAMILTON,"1,089.65","8,073.73"
15290,INDIANA,HANCOCK,"1,089.65","8,073.73"
15300,INDIANA,HARRISON,"1,089.65","8,073.73"
15310,INDIANA,HENDRICKS,"1,089.65","8,073.73"
15320,INDIANA,HENRY,"1,014.61","8,073.73"
15330,INDIANA,HOWARD,"1,008.63","8,073.73"
15340,INDIANA,HUNTINGTON,"1,089.65","8,073.73"
15350,INDIANA,JACKSON,985.93,"8,073.73"
15360,INDIANA,JASPER,"1,094.61","8,073.73"
15370,INDIANA,JAY,985.93,"8,073.73"
15380,INDIANA,JEFFERSON,985.93,"8,073.73"
15390,INDIANA,JENNINGS,985.93,"8,073.73"
15400,INDIANA,JOHNSON,"1,089.65","8,073.73"
15410,INDIANA,KNOX,"1,014.53","8,073.73"
15420,INDIANA,KOSCIUSKO,985.93,"8,073.73"
15430,INDIANA,LAGRANGE,985.93,"8,073.73"
15440,INDIANA,LAKE,"1,126.77","8,073.73"
15450,INDIANA,LA PORTE,974.04,"8,073.73"
15460,INDIANA,LAWRENCE,"1,025.37","8,073.73"
15470,INDIANA,MADISON,"1,089.65","8,073.73"
15480,INDIANA,MARION,"1,089.65","8,073.73"
15490,INDIANA,MARSHALL,985.93,"8,073.73"
15500,INDIANA,MARTIN,"1,015.21","8,073.73"
15510,INDIANA,MIAMI,985.93,"8,073.73"
15520,INDIANA,MONROE,985.93,"8,073.73"
15530,INDIANA,MONTGOMERY,938.22,"8,073.73"
15540,INDIANA,MORGAN,"1,089.65","8,073.73"
15550,INDIANA,NEWTON,"1,092.52","8,073.73"
15560,INDIANA,NOBLE,985.93,"8,073.73"
15570,INDIANA,OHIO,"1,089.65","8,073.73"
15580,INDIANA,ORANGE,997.45,"8,073.73"
15590,INDIANA,OWEN,985.93,"8,073.73"
15600,INDIANA,PARKE,"1,021.38","8,073.73"
15610,INDIANA,PERRY,"1,083.04","8,073.73"
15620,INDIANA,PIKE,985.93,"8,073.73"
15630,INDIANA,PORTER,"1,089.65","8,073.73"
15640,INDIANA,POSEY,"1,089.65","8,073.73"
15650,INDIANA,PULASKI,"1,061.42","8,073.73"
15660,INDIANA,PUTNAM,"1,089.65","8,073.73"
15670,INDIANA,RANDOLPH,"1,006.48","8,073.73"
15680,INDIANA,RIPLEY,985.93,"8,073.73"
15690,INDIANA,RUSH,992.26,"8,073.73"
15700,INDIANA,ST. JOSEPH,"1,089.65","8,073.73"
15710,INDIANA,SCOTT,"1,089.65","8,073.73"
15720,INDIANA,SHELBY,"1,089.65","8,073.73"
15730,INDIANA,SPENCER,985.93,"8,073.73"
15740,INDIANA,STARKE,979.25,"8,073.73"
15750,INDIANA,STEUBEN,997.81,"8,073.73"
15760,INDIANA,SULLIVAN,989.71,"8,073.73"
15770,INDIANA,SWITZERLAND,972.55,"8,073.73"
15780,INDIANA,TIPPECANOE,985.93,"8,073.73"
15790,INDIANA,TIPTON,"1,122.29","8,073.73"
15800,INDIANA,UNION,985.93,"8,073.73"
15810,INDIANA,VANDERBURGH,"1,089.65","8,073.73"
15820,INDIANA,VERMILLION,"1,061.65","8,073.73"
15830,INDIANA,VIGO,996.82,"8,073.73"
15840,INDIANA,WABASH,985.93,"8,073.73"
15850,INDIANA,WARREN,"1,051.99","8,073.73"
15860,INDIANA,WARRICK,"1,089.65","8,073.73"
15870,INDIANA,WASHINGTON,"1,089.65","8,073.73"
15880,INDIANA,WAYNE,962.03,"8,073.73"
15890,INDIANA,WELLS,"1,089.65","8,073.73"
15900,INDIANA,WHITE,"1,043.06","8,073.73"
15910,INDIANA,WHITLEY,"1,089.65","8,073.73"
16000,IOWA,ADAIR,"1,052.20","7,129.81"
16010,IOWA,ADAMS,"1,135.06","7,129.81"
16020,IOWA,ALLAMAKEE,985.93,"7,129.81"
16030,IOWA,APPANOOSE,985.93,"7,129.81"
16040,IOWA,AUDUBON,"1,084.10","7,129.81"
16050,IOWA,BENTON,985.93,"7,129.81"
16060,IOWA,BLACK HAWK,969.74,"7,129.81"
16070,IOWA,BOONE,985.93,"7,129.81"
16080,IOWA,BREMER,"1,069.68","7,129.81"
16090,IOWA,BUCHANAN,"1,003.25","7,129.81"
16100,IOWA,BUENA VISTA,985.93,"7,129.81"
16110,IOWA,BUTLER,999.44,"7,129.81"
16120,IOWA,CALHOUN,"1,050.11","7,129.81"
16130,IOWA,CARROLL,985.93,"7,129.81"
16140,IOWA,CASS,"1,065.20","7,129.81"
16150,IOWA,CEDAR,985.93,"7,129.81"
16160,IOWA,CERRO GORDO,985.93,"7,129.81"
16170,IOWA,CHEROKEE,985.93,"7,129.81"
16180,IOWA,CHICKASAW,"1,175.18","7,129.81"
16190,IOWA,CLARKE,"1,157.82","7,129.81"
16200,IOWA,CLAY,985.93,"7,129.81"
16210,IOWA,CLAYTON,993.29,"7,129.81"
16220,IOWA,CLINTON,985.93,"7,129.81"
16230,IOWA,CRAWFORD,985.93,"7,129.81"
16240,IOWA,DALLAS,"1,089.65","7,129.81"
16250,IOWA,DAVIS,"1,062.65","7,129.81"
16260,IOWA,DECATUR,990.01,"7,129.81"
16270,IOWA,DELAWARE,985.93,"7,129.81"
16280,IOWA,DES MOINES,985.93,"7,129.81"
16290,IOWA,DICKINSON,985.93,"7,129.81"
16300,IOWA,DUBUQUE,"1,041.44","7,129.81"
16310,IOWA,EMMET,"1,061.37","7,129.81"
16320,IOWA,FAYETTE,"1,043.21","7,129.81"
16330,IOWA,FLOYD,"1,037.02","7,129.81"
16340,IOWA,FRANKLIN,974.40,"7,129.81"
16350,IOWA,FREMONT,"1,238.54","7,129.81"
16360,IOWA,GREENE,985.93,"7,129.81"
16370,IOWA,GRUNDY,993.09,"7,129.81"
16380,IOWA,GUTHRIE,"1,089.65","7,129.81"
16390,IOWA,HAMILTON,985.93,"7,129.81"
16400,IOWA,HANCOCK,"1,091.64","7,129.81"
16410,IOWA,HARDIN,967.08,"7,129.81"
16420,IOWA,HARRISON,"1,089.65","7,129.81"
16430,IOWA,HENRY,985.93,"7,129.81"
16440,IOWA,HOWARD,"1,072.10","7,129.81"
16450,IOWA,HUMBOLDT,981.18,"7,129.81"
16460,IOWA,IDA,"1,114.60","7,129.81"
16470,IOWA,IOWA,979.99,"7,129.81"
16480,IOWA,JACKSON,985.93,"7,129.81"
16490,IOWA,JASPER,985.93,"7,129.81"
16500,IOWA,JEFFERSON,985.93,"7,129.81"
16510,IOWA,JOHNSON,985.93,"7,129.81"
16520,IOWA,JONES,972.67,"7,129.81"
16530,IOWA,KEOKUK,"1,025.94","7,129.81"
16540,IOWA,KOSSUTH,"1,003.85","7,129.81"
16550,IOWA,LEE,985.93,"7,129.81"
16560,IOWA,LINN,985.93,"7,129.81"
16570,IOWA,LOUISA,985.93,"7,129.81"
16580,IOWA,LUCAS,985.93,"7,129.81"
16590,IOWA,LYON,"1,051.33","7,129.81"
16600,IOWA,MADISON,"1,089.65","7,129.81"
16610,IOWA,MAHASKA,985.93,"7,129.81"
16620,IOWA,MARION,985.93,"7,129.81"
16630,IOWA,MARSHALL,985.93,"7,129.81"
16640,IOWA,MILLS,"1,089.65","7,129.81"
16650,IOWA,MITCHELL,985.18,"7,129.81"
16660,IOWA,MONONA,"1,078.60","7,129.81"
16670,IOWA,MONROE,"1,003.06","7,129.81"
16680,IOWA,MONTGOMERY,"1,071.19","7,129.81"
16690,IOWA,MUSCATINE,985.93,"7,129.81"
16700,IOWA,O'BRIEN,"1,008.98","7,129.81"
16710,IOWA,OSCEOLA,950.74,"7,129.81"
16720,IOWA,PAGE,"1,105.91","7,129.81"
16730,IOWA,PALO ALTO,"1,059.46","7,129.81"
16740,IOWA,PLYMOUTH,985.93,"7,129.81"
16750,IOWA,POCAHONTAS,993.84,"7,129.81"
16760,IOWA,POLK,"1,089.65","7,129.81"
16770,IOWA,POTTAWATTAMIE,"1,089.65","7,129.81"
16780,IOWA,POWESHIEK,985.93,"7,129.81"
16790,IOWA,RINGGOLD,"1,139.92","7,129.81"
16800,IOWA,SAC,"1,123.44","7,129.81"
16810,IOWA,SCOTT,"1,089.65","7,129.81"
16820,IOWA,SHELBY,"1,079.65","7,129.81"
16830,IOWA,SIOUX,"1,037.64","7,129.81"
16840,IOWA,STORY,985.93,"7,129.81"
16850,IOWA,TAMA,985.93,"7,129.81"
16860,IOWA,TAYLOR,"1,128.14","7,129.81"
16870,IOWA,UNION,985.93,"7,129.81"
16880,IOWA,VAN BUREN,"1,088.05","7,129.81"
16890,IOWA,WAPELLO,985.93,"7,129.81"
16900,IOWA,WARREN,"1,089.65","7,129.81"
16910,IOWA,WASHINGTON,985.93,"7,129.81"
16920,IOWA,WAYNE,985.93,"7,129.81"
16930,IOWA,WEBSTER,985.93,"7,129.81"
16940,IOWA,WINNEBAGO,985.93,"7,129.81"
16950,IOWA,WINNESHIEK,985.93,"7,129.81"
16960,IOWA,WOODBURY,985.93,"7,129.81"
16970,IOWA,WORTH,985.93,"7,129.81"
16980,IOWA,WRIGHT,"1,160.81","7,129.81"
17000,KANSAS,ALLEN,"1,101.59","7,370.02"
17010,KANSAS,ANDERSON,"1,229.68","7,370.02"
17020,KANSAS,ATCHISON,"1,089.46","7,370.02"
17030,KANSAS,BARBER,"1,455.64","7,370.02"
17040,KANSAS,BARTON,"1,153.23","7,370.02"
17050,KANSAS,BOURBON,"1,181.42","7,370.02"
17060,KANSAS,BROWN,"1,157.15","7,370.02"
17070,KANSAS,BUTLER,"1,089.65","7,370.02"
17080,KANSAS,CHASE,"1,017.92","7,370.02"
17090,KANSAS,CHAUTAUQUA,"1,173.45","7,370.02"
17100,KANSAS,CHEROKEE,995.91,"7,370.02"
17110,KANSAS,CHEYENNE,"1,562.02","7,370.02"
17120,KANSAS,CLARK,"1,511.54","7,370.02"
17130,KANSAS,CLAY,"1,104.53","7,370.02"
17140,KANSAS,CLOUD,"1,024.63","7,370.02"
17150,KANSAS,COFFEY,"1,234.39","7,370.02"
17160,KANSAS,COMANCHE,"1,358.77","7,370.02"
17170,KANSAS,COWLEY,985.93,"7,370.02"
17180,KANSAS,CRAWFORD,"1,004.99","7,370.02"
17190,KANSAS,DECATUR,"1,310.22","7,370.02"
17200,KANSAS,DICKINSON,"1,018.85","7,370.02"
17210,KANSAS,DONIPHAN,"1,123.59","7,370.02"
17220,KANSAS,DOUGLAS,985.93,"7,370.02"
17230,KANSAS,EDWARDS,"1,275.69","7,370.02"
17240,KANSAS,ELK,"1,122.21","7,370.02"
17250,KANSAS,ELLIS,"1,091.88","7,370.02"
17260,KANSAS,ELLSWORTH,"1,325.62","7,370.02"
17270,KANSAS,FINNEY,"1,013.90","7,370.02"
17280,KANSAS,FORD,985.93,"7,370.02"
17290,KANSAS,FRANKLIN,"1,089.65","7,370.02"
17300,KANSAS,GEARY,985.93,"7,370.02"
17310,KANSAS,GOVE,"1,236.14","7,370.02"
17320,KANSAS,GRAHAM,"1,230.04","7,370.02"
17330,KANSAS,GRANT,"1,371.70","7,370.02"
17340,KANSAS,GRAY,985.93,"7,370.02"
17350,KANSAS,GREELEY,"1,206.76","7,370.02"
17360,KANSAS,GREENWOOD,"1,257.64","7,370.02"
17370,KANSAS,HAMILTON,"1,258.39","7,370.02"
17380,KANSAS,HARPER,"1,215.11","7,370.02"
17390,KANSAS,HARVEY,"1,089.65","7,370.02"
17391,KANSAS,HASKELL,"1,299.55","7,370.02"
17410,KANSAS,HODGEMAN,"1,203.69","7,370.02"
17420,KANSAS,JACKSON,"1,060.74","7,370.02"
17430,KANSAS,JEFFERSON,985.93,"7,370.02"
17440,KANSAS,JEWELL,"1,252.09","7,370.02"
17450,KANSAS,JOHNSON,"1,089.65","7,370.02"
17451,KANSAS,KEARNY,"1,181.54","7,370.02"
17470,KANSAS,KINGMAN,"1,081.90","7,370.02"
17480,KANSAS,KIOWA,"1,233.19","7,370.02"
17490,KANSAS,LABETTE,985.93,"7,370.02"
17500,KANSAS,LANE,"1,407.91","7,370.02"
17510,KANSAS,LEAVENWORTH,"1,077.76","7,370.02"
17520,KANSAS,LINCOLN,"1,531.52","7,370.02"
17530,KANSAS,LINN,"1,194.01","7,370.02"
17540,KANSAS,LOGAN,"1,290.99","7,370.02"
17550,KANSAS,LYON,980.95,"7,370.02"
17560,KANSAS,MCPHERSON,985.93,"7,370.02"
17570,KANSAS,MARION,"1,029.88","7,370.02"
17580,KANSAS,MARSHALL,"1,053.08","7,370.02"
17590,KANSAS,MEADE,"1,437.08","7,370.02"
17600,KANSAS,MIAMI,"1,269.43","7,370.02"
17610,KANSAS,MITCHELL,"1,105.21","7,370.02"
17620,KANSAS,MONTGOMERY,985.93,"7,370.02"
17630,KANSAS,MORRIS,"1,096.32","7,370.02"
17640,KANSAS,MORTON,"1,364.07","7,370.02"
17650,KANSAS,NEMAHA,"1,061.34","7,370.02"
17660,KANSAS,NEOSHO,"1,169.90","7,370.02"
17670,KANSAS,NESS,"1,223.37","7,370.02"
17680,KANSAS,NORTON,"1,084.34","7,370.02"
17690,KANSAS,OSAGE,985.93,"7,370.02"
17700,KANSAS,OSBORNE,"1,224.32","7,370.02"
17710,KANSAS,OTTAWA,"1,085.02","7,370.02"
17720,KANSAS,PAWNEE,"1,367.89","7,370.02"
17730,KANSAS,PHILLIPS,"1,344.81","7,370.02"
17740,KANSAS,POTTAWATOMIE,"1,165.21","7,370.02"
17750,KANSAS,PRATT,"1,186.77","7,370.02"
17760,KANSAS,RAWLINS,"1,562.24","7,370.02"
17770,KANSAS,RENO,"1,028.67","7,370.02"
17780,KANSAS,REPUBLIC,"1,079.45","7,370.02"
17790,KANSAS,RICE,"1,237.26","7,370.02"
17800,KANSAS,RILEY,985.93,"7,370.02"
17810,KANSAS,ROOKS,"1,179.55","7,370.02"
17820,KANSAS,RUSH,"1,167.34","7,370.02"
17830,KANSAS,RUSSELL,"1,206.73","7,370.02"
17840,KANSAS,SALINE,985.93,"7,370.02"
17841,KANSAS,SCOTT,"1,450.50","7,370.02"
17860,KANSAS,SEDGWICK,"1,089.65","7,370.02"
17870,KANSAS,SEWARD,"1,020.76","7,370.02"
17880,KANSAS,SHAWNEE,985.93,"7,370.02"
17890,KANSAS,SHERIDAN,"1,318.12","7,370.02"
17900,KANSAS,SHERMAN,"1,295.29","7,370.02"
17910,KANSAS,SMITH,"1,277.33","7,370.02"
17920,KANSAS,STAFFORD,"1,217.43","7,370.02"
17921,KANSAS,STANTON,"1,225.23","7,370.02"
17940,KANSAS,STEVENS,"1,327.20","7,370.02"
17950,KANSAS,SUMNER,"1,089.65","7,370.02"
17960,KANSAS,THOMAS,"1,306.28","7,370.02"
17970,KANSAS,TREGO,"1,288.45","7,370.02"
