"Medicare Advantage Monthly Capitation Rates for 2021 Local EGWP Plans
Bid to Benchmark Ratios ",,,,,,,
Quartile,Ratio,,,,,,
0.9500,84.2%,,,,,,
1.0000,85.1%,,,,,,
1.0750,84.9%,,,,,,
1.1500,85.1%,,,,,,
Code,State,County,"Part A/B Rate – 
4.5 and 5 stars","Part A/B Rate –
 4 stars","Part A/B Rate – 
3.5 stars","Part A/B Rate – 
< 3.5 stars",Part A/B Rate – low enrollment / new contract under new parent org
01000,ALABAMA,AUTAUGA,"1,024.69","1,016.61",930.09,907.92,990.65
01010,ALABAMA,BALDWIN,"1,035.67","1,027.57",950.99,928.50,"1,008.87"
01020,ALABAMA,BARBOUR,951.62,944.18,944.18,921.85,944.18
01030,ALABAMA,BIBB,"1,024.34","1,016.26",929.77,907.61,990.31
01040,ALABAMA,BLOUNT,996.02,988.16,904.06,882.51,962.94
01050,ALABAMA,BULLOCK,921.86,914.65,876.54,855.82,903.22
01060,ALABAMA,BUTLER,982.14,974.46,932.55,910.50,961.88
01070,ALABAMA,CALHOUN,933.76,926.40,926.40,904.31,926.40
01080,ALABAMA,CHAMBERS,873.00,866.18,830.09,810.46,855.34
01090,ALABAMA,CHEROKEE,958.83,951.27,922.52,900.53,951.27
01100,ALABAMA,CHILTON,"1,011.80","1,003.82",918.39,896.50,978.20
01110,ALABAMA,CHOCTAW,991.87,983.64,934.46,910.99,968.88
01120,ALABAMA,CLARKE,926.91,919.66,919.66,897.92,919.66
01130,ALABAMA,CLAY,921.42,914.22,876.12,855.40,902.79
01140,ALABAMA,CLEBURNE,934.43,927.06,927.06,904.96,927.06
01150,ALABAMA,COFFEE,937.39,930.06,929.03,907.06,930.06
01160,ALABAMA,COLBERT,982.56,974.82,931.49,909.28,961.82
01170,ALABAMA,CONECUH,991.43,983.62,939.90,917.49,970.51
01180,ALABAMA,COOSA,930.83,923.55,923.55,901.71,923.55
01190,ALABAMA,COVINGTON,937.55,930.16,930.16,907.98,930.16
01200,ALABAMA,CRENSHAW,909.96,902.78,902.75,881.23,902.78
01210,ALABAMA,CULLMAN,970.18,962.53,919.75,897.82,949.69
01220,ALABAMA,DALE,938.05,930.71,930.71,908.71,930.71
01230,ALABAMA,DALLAS,929.77,922.50,890.07,869.02,917.16
01240,ALABAMA,DEKALB,933.73,926.43,926.43,904.52,926.43
01250,ALABAMA,ELMORE,"1,032.17","1,024.10",965.63,942.79,"1,024.10"
01260,ALABAMA,ESCAMBIA,935.37,928.08,909.84,888.41,928.08
01270,ALABAMA,ETOWAH,"1,000.84",992.95,951.25,928.57,982.21
01280,ALABAMA,FAYETTE,929.74,922.47,922.47,900.66,922.47
01290,ALABAMA,FRANKLIN,"1,014.90","1,006.90",962.15,939.21,993.48
01300,ALABAMA,GENEVA,938.82,931.47,931.47,909.45,931.47
01310,ALABAMA,GREENE,929.48,922.21,922.21,900.41,922.21
01320,ALABAMA,HALE,954.93,947.40,905.29,883.71,934.77
01330,ALABAMA,HENRY,938.92,931.58,931.58,909.55,931.58
01340,ALABAMA,HOUSTON,938.30,930.96,930.96,908.95,930.96
01350,ALABAMA,JACKSON,907.75,900.59,900.59,879.12,900.59
01360,ALABAMA,JEFFERSON,"1,020.65","1,012.60",933.43,911.18,994.21
01370,ALABAMA,LAMAR,923.19,915.97,915.97,894.31,915.97
01380,ALABAMA,LAUDERDALE,936.93,929.61,911.64,890.08,929.61
01390,ALABAMA,LAWRENCE,937.08,929.75,929.75,907.76,929.75
01400,ALABAMA,LEE,866.73,859.95,824.13,804.64,849.20
01410,ALABAMA,LIMESTONE,"1,004.46",996.54,952.24,929.54,983.25
01420,ALABAMA,LOWNDES,999.48,991.66,912.33,890.75,967.86
01430,ALABAMA,MACON,894.04,887.04,850.08,829.98,875.96
01440,ALABAMA,MADISON,977.93,970.22,927.10,905.00,957.28
01450,ALABAMA,MARENGO,930.05,922.77,922.77,900.95,922.77
01460,ALABAMA,MARION,"1,019.67","1,011.63",972.58,949.39,"1,004.25"
01470,ALABAMA,MARSHALL,935.79,928.42,905.40,883.81,928.42
01480,ALABAMA,MOBILE,"1,064.41","1,056.09",971.60,948.62,"1,030.75"
01490,ALABAMA,MONROE,971.61,963.95,958.01,935.17,963.95
01500,ALABAMA,MONTGOMERY,"1,031.15","1,023.09",956.38,933.76,"1,014.59"
01510,ALABAMA,MORGAN,935.98,928.60,928.60,906.46,928.60
01520,ALABAMA,PERRY,901.31,894.26,856.99,836.73,883.07
01530,ALABAMA,PICKENS,991.56,983.74,954.96,932.19,983.74
01540,ALABAMA,PIKE,934.58,927.27,927.27,905.35,927.27
01550,ALABAMA,RANDOLPH,961.55,954.03,914.27,892.65,942.10
01560,ALABAMA,RUSSELL,955.85,948.37,908.86,887.37,936.52
01570,ALABAMA,ST. CLAIR,"1,018.58","1,010.55",924.54,902.50,984.74
01580,ALABAMA,SHELBY,"1,022.45","1,014.39",925.21,903.16,987.64
01590,ALABAMA,SUMTER,941.60,934.24,934.24,912.15,934.24
01600,ALABAMA,TALLADEGA,"1,041.56","1,033.42",990.36,966.94,"1,020.50"
01610,ALABAMA,TALLAPOOSA,934.67,927.36,902.15,880.82,927.36
01620,ALABAMA,TUSCALOOSA,940.95,933.53,925.51,903.44,933.53
01630,ALABAMA,WALKER,"1,002.72",994.87,912.82,891.24,970.26
01640,ALABAMA,WASHINGTON,975.00,967.31,924.31,902.28,954.41
01650,ALABAMA,WILCOX,930.99,923.71,920.59,898.82,923.71
01660,ALABAMA,WINSTON,944.27,936.92,892.30,871.28,923.53
